Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-29 12:00:00, 2024-01-29 17:10:00, 2024-01-30 02:30:00","2024-01-29 13:35:00, 2024-01-29 23:35:00, 2024-01-30 06:45:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"03h 35m, 02h 55m","VA838(Virgin Australia), QR989(Qatar), QR115(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 12:00:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 13:35:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Business, Business, Business","Z, I, I",154500,$765.7,"01h 35m, 14h 20m, 06h 20m",2,"02h 35m, 02h 55m","VA838(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",2,Business,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 12:00:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 13:35:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Economy, Economy, Economy","X, N, N",82800,$307.1,"01h 35m, 14h 20m, 06h 20m",2,"02h 35m, 02h 55m","VA838(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",8,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-29 13:00:00, 2024-01-29 17:10:00, 2024-01-30 02:30:00","2024-01-29 14:35:00, 2024-01-29 23:35:00, 2024-01-30 06:45:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"02h 35m, 02h 55m","VA842(Virgin Australia), QR989(Qatar), QR115(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-29 14:00:00, 2024-01-29 17:10:00, 2024-01-30 02:30:00","2024-01-29 15:35:00, 2024-01-29 23:35:00, 2024-01-30 06:45:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"01h 35m, 02h 55m","VA846(Virgin Australia), QR989(Qatar), QR115(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-SIN, SIN-FCO","2024-01-29 15:00:00, 2024-01-29 19:25:00, 2024-01-30 02:05:00","2024-01-29 16:35:00, 2024-01-30 00:15:00, 2024-01-30 08:10:00","Economy, Economy, Economy","X, X, X",82800,$254.8,"01h 35m, 07h 50m, 13h 05m",2,"02h 50m, 01h 50m","VA850(Virgin Australia), SQ208(Singapore Airlines), SQ366(Singapore Airlines)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-SIN, SIN-FCO","2024-01-29 16:10:00, 2024-01-30 02:05:00","2024-01-29 21:20:00, 2024-01-30 08:10:00","Economy, Economy","X, X",75000,$234.59,"08h 10m, 13h 05m",1,04h 45m,"SQ222(Singapore Airlines), SQ366(Singapore Airlines)","Airbus A380-800, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-SIN, SIN-FCO","2024-01-29 16:10:00, 2024-01-30 02:05:00","2024-01-29 21:20:00, 2024-01-30 08:10:00","PremiumEconomy, PremiumEconomy","P, P",112500,$356.89,"08h 10m, 13h 05m",1,04h 45m,"SQ222(Singapore Airlines), SQ366(Singapore Airlines)","Airbus A380-800, Airbus A350-900",8,PremiumEconomy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-29 19:00:00, 2024-01-29 22:30:00, 2024-01-30 15:35:00","2024-01-29 20:35:00, 2024-01-30 04:55:00, 2024-01-30 19:50:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"01h 55m, 10h 40m","VA882(Virgin Australia), QR905(Qatar), QR113(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-29 19:00:00, 2024-01-29 22:30:00, 2024-01-30 08:35:00","2024-01-29 20:35:00, 2024-01-30 04:55:00, 2024-01-30 12:50:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"01h 55m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR131(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 787-9",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-BNE, BNE-DOH, DOH-FCO","2024-01-29 19:00:00, 2024-01-29 22:10:00, 2024-01-30 08:35:00","2024-01-29 19:30:00, 2024-01-30 05:45:00, 2024-01-30 12:50:00","Economy, Economy, Economy","X, X, X",82800,$361.87,"01h 30m, 14h 35m, 06h 15m",2,"02h 40m, 02h 50m","VA981(Virgin Australia), QR899(Qatar), QR131(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 787-9",2,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-BNE, BNE-DOH, DOH-FCO","2024-01-29 19:00:00, 2024-01-29 22:10:00, 2024-01-30 15:35:00","2024-01-29 19:30:00, 2024-01-30 05:45:00, 2024-01-30 19:50:00","Economy, Economy, Economy","X, X, X",82800,$361.87,"01h 30m, 14h 35m, 06h 15m",2,"02h 40m, 09h 50m","VA981(Virgin Australia), QR899(Qatar), QR113(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",4,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-SIN, SIN-FCO","2024-01-29 19:10:00, 2024-01-30 02:05:00","2024-01-30 00:20:00, 2024-01-30 08:10:00","PremiumEconomy, PremiumEconomy","P, P",112500,$356.89,"08h 10m, 13h 05m",1,01h 45m,"SQ242(Singapore Airlines), SQ366(Singapore Airlines)","Airbus A350-900, Airbus A350-900",7,PremiumEconomy,VA,2023-08-11 22:46:17
