Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-28 21:30:00, 2023-11-29 11:30:00, 2023-11-29 08:40:00, 2023-11-29 18:25:00","2023-11-28 23:05:00, 2023-11-29 06:45:00, 2023-11-29 16:21:00, 2023-11-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"12h 25m, 01h 55m, 02h 04m","VA898(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-28 22:00:00, 2023-11-29 08:15:00","2023-11-29 04:50:00, 2023-11-29 13:15:00","Economy, Economy","H, H",304700,$437.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-28 22:00:00, 2023-11-29 08:15:00","2023-11-29 04:50:00, 2023-11-29 13:15:00","Economy, Economy","N, N",228900,$437.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-28 22:00:00, 2023-11-29 08:15:00","2023-11-29 04:50:00, 2023-11-29 13:15:00","Business, Business","D, D",812500,$601.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-SFO, SFO-ORD, ORD-AMS","2023-11-29 08:30:00, 2023-11-29 13:00:00, 2023-11-29 10:57:00, 2023-11-29 18:25:00","2023-11-29 10:05:00, 2023-11-29 08:25:00, 2023-11-29 17:10:00, 2023-11-30 09:20:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 25m, 04h 13m, 07h 55m",3,"02h 55m, 02h 32m, 01h 15m","VA820(Virgin Australia), UA61(United Airlines), UA2230(United Airlines), UA909(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 757-300, Boeing 787-8",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-SFO, SFO-ORD, ORD-AMS","2023-11-29 09:00:00, 2023-11-29 13:00:00, 2023-11-29 10:57:00, 2023-11-29 18:25:00","2023-11-29 10:35:00, 2023-11-29 08:25:00, 2023-11-29 17:10:00, 2023-11-30 09:20:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 25m, 04h 13m, 07h 55m",3,"02h 25m, 02h 32m, 01h 15m","VA824(Virgin Australia), UA61(United Airlines), UA2230(United Airlines), UA909(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 757-300, Boeing 787-8",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-SFO, SFO-ORD, ORD-AMS","2023-11-29 09:30:00, 2023-11-29 13:00:00, 2023-11-29 10:57:00, 2023-11-29 18:25:00","2023-11-29 11:05:00, 2023-11-29 08:25:00, 2023-11-29 17:10:00, 2023-11-30 09:20:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 25m, 04h 13m, 07h 55m",3,"01h 55m, 02h 32m, 01h 15m","VA826(Virgin Australia), UA61(United Airlines), UA2230(United Airlines), UA909(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 757-300, Boeing 787-8",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-AUH, AUH-AMS","2023-11-29 17:00:00, 2023-11-29 21:40:00, 2023-11-30 14:05:00","2023-11-29 18:35:00, 2023-11-30 04:40:00, 2023-11-30 18:25:00","Economy, Economy, Economy","X, N, N",82800,$314.7,"01h 35m, 14h 00m, 07h 20m",2,"03h 05m, 09h 25m","VA866(Virgin Australia), EY461(Etihad Airways), EY77(Etihad Airways)","Boeing 737-800, Boeing 777-300ER, Boeing 787-10",6,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-ADL, ADL-DOH, DOH-AMS","2023-11-29 17:30:00, 2023-11-30 09:40:00, 2023-12-01 06:00:00","2023-11-29 19:10:00, 2023-11-30 22:40:00, 2023-12-01 11:00:00","Economy, Economy, Economy","X, X, X",86800,$365.55,"02h 10m, 20h 30m, 07h 00m",3,"14h 30m, 07h 20m","VA434(Virgin Australia), QR989(Qatar), QR275(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 787-8",2,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-AUH, AUH-AMS","2023-11-29 17:30:00, 2023-11-29 21:40:00, 2023-11-30 14:05:00","2023-11-29 19:05:00, 2023-11-30 04:40:00, 2023-11-30 18:25:00","Economy, Economy, Economy","X, N, N",82800,$314.7,"01h 35m, 14h 00m, 07h 20m",2,"02h 35m, 09h 25m","VA870(Virgin Australia), EY461(Etihad Airways), EY77(Etihad Airways)","Boeing 737-800, Boeing 777-300ER, Boeing 787-10",6,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-AUH, AUH-AMS","2023-11-29 18:00:00, 2023-11-29 21:40:00, 2023-11-30 14:05:00","2023-11-29 19:35:00, 2023-11-30 04:40:00, 2023-11-30 18:25:00","Economy, Economy, Economy","X, N, N",82800,$314.7,"01h 35m, 14h 00m, 07h 20m",2,"02h 05m, 09h 25m","VA874(Virgin Australia), EY461(Etihad Airways), EY77(Etihad Airways)","Boeing 737-800, Boeing 777-300ER, Boeing 787-10",6,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-29 19:00:00, 2023-11-29 22:10:00, 2023-11-30 08:15:00","2023-11-29 20:35:00, 2023-11-30 04:35:00, 2023-11-30 13:15:00","Economy, Economy, Economy","P, P, P",222500,$449.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-29 19:00:00, 2023-11-29 22:10:00, 2023-11-30 08:15:00","2023-11-29 19:30:00, 2023-11-30 05:45:00, 2023-11-30 13:15:00","Economy, Economy, Economy","H, H, H",411200,$465.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
